"country","democracy_eiu","trust_pct","gdp","year"
"AUS",8.71,49.9118816780199,64491.4298860631,2022
"AUT",8.07,61.0458963307101,53637.7057109897,2021
"BEL",7.64,57.2408419337754,49582.8253649187,2022
"BRA",6.78,39.1633431519861,8917.67389796927,2022
"CAN",8.88,50.6668033321548,54966.4888361088,2022
"CHE",8.9,83.7848093008452,91991.6004583563,2021
"CHL",8.22,28.7241784844887,15355.5064965406,2022
"COL",6.72,29.6825079323217,6630.28272608054,2022
"CRI",8.29,60.0127479827011,13198.8217168097,2022
"CZE",7.97,34.0826747537788,27638.3732756288,2022
"DEU",8.8,60.7603777839133,48432.4558732596,2022
"DNK",9.28,63.5359926406944,66983.1320017138,2022
"ESP",7.94,37.1703814804768,30103.513733191,2021
"EST",7.96,50.8495859391006,28332.6290917984,2022
"FIN",9.29,77.5449915345894,50536.6244670541,2022
"FRA",7.99,43.3520499917692,43658.9789781222,2021
"GBR",8.1,39.4753987902553,46585.8975644567,2021
"GRC",7.97,25.6266144139102,20732.0522190537,2022
"HUN",6.64,44.1911725509736,18463.2085249699,2022
"IRL",9,62.3389411864285,100172.079253421,2021
"ISR",7.97,43.9594681535094,52166.8121647134,2021
"ITA",7.68,35.429390283743,35770.0496120858,2021
"JPN",8.33,43.1462692986385,33815.3172733799,2022
"KOR",8.16,43.3829193400451,34997.7816427848,2021
"LTU",7.18,30.3830445599736,23712.5357765275,2021
"LVA",7.31,29.4602407828229,21080.1774491839,2021
"MEX",5.25,52.8816455058393,11091.3054302538,2022
"NLD",9,47.2347701581325,55985.4034255707,2022
"NOR",9.81,63.6077672008499,106148.778627718,2022
"NZL",9.61,51.3921513069705,48249.2640150011,2022
"POL",7.04,34.1607151853422,18321.2808899533,2022
"PRT",7.95,58.92422646215,24274.5165823077,2022
"RUS",3.24,45.6992085335251,12593.1572265625,2021
"SVK",7.03,21.5807581467336,21782.8550659196,2021
"SVN",7.75,45.0723499937177,29457.40284439,2022
"SWE",9.39,68.7863033630634,55873.2208108977,2022
"TUR",4.35,42.6014369483973,9661.22773420424,2021
"USA",7.85,31.024155522486,76398.5917422054,2022
"ZAF",7.05,50.896150522116,7055.05517621298,2021
"ISL",9.52,51.5324987127802,72902.9799538499,2022
"LUX",8.81,78.0171007884326,112621.821337402,2019
